,rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,avg_price,revenue
0,1,Wii Sports,wii,2006,sports,Nintendo,41.49,29.02,3.77,8.46,82.74,10.18,842293200.0
1,2,Super Mario Bros.,nes,1985,platform,Nintendo,29.08,3.58,6.81,0.77,40.24,41.56,1672374400.0000002
2,3,Mario Kart Wii,wii,2008,racing,Nintendo,15.85,12.88,3.79,3.31,35.82,10.18,364647600.0
3,4,Wii Sports Resort,wii,2009,sports,Nintendo,15.75,11.01,3.28,2.96,33.0,10.18,335940000.0
4,5,Pokemon Red/Pokemon Blue,gb,1996,role-playing,Nintendo,11.27,8.89,10.22,1.0,31.37,26.29,824717300.0
5,6,Tetris,gb,1989,puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,26.29,795535400.0
6,7,New Super Mario Bros.,ds,2006,platform,Nintendo,11.38,9.23,6.5,2.9,30.01,12.99,389829900.0
7,9,New Super Mario Bros. Wii,wii,2009,platform,Nintendo,14.59,7.06,4.7,2.26,28.62,10.18,291351600.0
8,10,Duck Hunt,nes,1984,shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,41.56,1176563600.0
9,11,Nintendogs,ds,2005,simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,12.99,321632400.0
10,12,Mario Kart DS,ds,2005,racing,Nintendo,9.81,7.57,4.13,1.92,23.42,12.99,304225800.00000006
11,13,Pokemon Gold/Pokemon Silver,gb,1999,role-playing,Nintendo,9.0,6.18,7.2,0.71,23.1,26.29,607299000.0
12,14,Wii Fit,wii,2007,sports,Nintendo,8.94,8.03,3.6,2.15,22.72,10.18,231289599.99999997
13,15,Wii Fit Plus,wii,2009,sports,Nintendo,9.09,8.59,2.53,1.79,22.0,10.18,223959999.99999997
14,17,Grand Theft Auto V,ps3,2013,action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,14.67,313938000.0
15,18,Grand Theft Auto: San Andreas,ps2,2004,action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,13.45,279894500.0
16,19,Super Mario World,snes,1990,platform,Nintendo,12.78,3.75,3.54,0.55,20.61,45.28,933220800.0
17,21,Pokemon Diamond/Pokemon Pearl,ds,2006,role-playing,Nintendo,6.42,4.52,6.04,1.37,18.36,12.99,238496400.0
18,22,Super Mario Land,gb,1989,platform,Nintendo,10.83,2.71,4.18,0.42,18.14,26.29,476900600.0
19,23,Super Mario Bros. 3,nes,1988,platform,Nintendo,9.54,3.44,3.84,0.46,17.28,41.56,718156800.0000001
20,24,Grand Theft Auto V,x360,2013,action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,11.94,195577199.99999997
21,25,Grand Theft Auto: Vice City,ps2,2002,action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,13.45,217217499.99999997
22,26,Pokemon Ruby/Pokemon Sapphire,gba,2002,role-playing,Nintendo,6.06,3.9,5.38,0.5,15.85,17.94,284349000.0
23,27,Pokemon Black/Pokemon White,ds,2010,role-playing,Nintendo,5.57,3.28,5.65,0.82,15.32,12.99,199006800.0
24,28,Brain Age 2: More Training in Minutes a Day,ds,2005,puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,12.99,198747000.0
25,29,Gran Turismo 3: A-Spec,ps2,2001,racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,13.45,201481000.0
26,30,Call of Duty: Modern Warfare 3,x360,2011,shooter,Activision,9.03,4.28,0.13,1.32,14.76,11.94,176234400.0
27,31,Pokémon Yellow: Special Pikachu Edition,gb,1998,role-playing,Nintendo,5.89,5.04,3.12,0.59,14.64,26.29,384885600.0
28,32,Call of Duty: Black Ops,x360,2010,shooter,Activision,9.67,3.73,0.11,1.13,14.64,11.94,174801600.0
29,33,Pokemon X/Pokemon Y,3ds,2013,role-playing,Nintendo,5.17,4.05,4.34,0.79,14.35,24.34,349279000.0
30,34,Call of Duty: Black Ops 3,ps4,2015,shooter,Activision,5.77,5.81,0.35,2.31,14.24,22.21,316270400.0
31,35,Call of Duty: Black Ops II,ps3,2012,shooter,Activision,4.99,5.88,0.65,2.52,14.03,14.67,205820100.0
32,36,Call of Duty: Black Ops II,x360,2012,shooter,Activision,8.25,4.3,0.07,1.12,13.73,11.94,163936200.0
